iter	Passed	Remaining
0	143	71384
1	152	37907
2	157	26144
3	163	20303
4	169	16745
5	174	14331
6	179	12616
7	183	11297
8	188	10261
9	193	9465
10	198	8806
11	203	8261
12	208	7795
13	213	7396
14	218	7059
15	223	6753
16	227	6463
17	232	6225
18	237	6005
19	242	5831
20	248	5664
21	252	5475
22	257	5342
23	262	5201
24	268	5092
25	273	4982
26	278	4871
27	282	4767
28	287	4669
29	292	4587
30	297	4504
31	302	4422
32	306	4341
33	311	4271
34	316	4208
35	321	4144
36	325	4077
37	330	4017
38	335	3963
39	339	3906
40	344	3859
41	348	3800
42	353	3752
43	357	3709
44	362	3669
45	367	3627
46	372	3590
47	377	3553
48	382	3518
49	388	3493
50	392	3457
51	398	3434
52	404	3411
53	409	3384
54	414	3352
55	419	3326
56	423	3290
57	428	3263
58	433	3237
59	438	3215
60	443	3188
61	448	3166
62	452	3141
63	458	3123
64	463	3099
65	468	3081
66	473	3056
67	477	3035
68	482	3014
69	487	2992
70	491	2968
71	496	2953
72	501	2934
73	506	2913
74	510	2891
75	515	2876
76	520	2857
77	524	2838
78	529	2821
79	534	2806
80	540	2796
81	545	2781
82	549	2763
83	556	2754
84	561	2740
85	567	2731
86	571	2713
87	575	2695
88	580	2678
89	584	2661
90	589	2649
91	594	2636
92	600	2626
93	604	2610
94	609	2597
95	614	2586
96	619	2572
97	623	2559
98	628	2546
99	633	2534
100	640	2529
101	645	2518
102	650	2509
103	655	2495
104	660	2485
105	665	2475
106	670	2464
107	676	2454
108	681	2443
109	686	2433
110	690	2421
111	695	2410
112	700	2400
113	705	2389
114	711	2381
115	716	2371
116	720	2359
117	725	2349
118	730	2338
119	735	2328
120	739	2317
121	745	2309
122	751	2301
123	755	2291
124	759	2277
125	764	2267
126	768	2257
127	772	2246
128	777	2235
129	782	2226
130	787	2217
131	792	2209
132	797	2199
133	801	2190
134	807	2183
135	811	2172
136	816	2164
137	821	2154
138	826	2146
139	830	2136
140	834	2124
141	837	2112
142	842	2103
143	847	2094
144	852	2087
